Family.Unique,Block.ID,HabitatType,Region,Population,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Survival.Y.N.2017,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,Flowering.Y.N.2018,Total.Flowers.2018,Fruit.Y.N.2018,No.Fruit.2018,seedmass.2018.g.,Surv2017,Surv2018,sm.3,sm2017,sm2018
AB-LL_29,1,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-LL_5,9,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AB-LL_12,2,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,5,0,1,0,1,0,35,0,0,0,0,0,1,0,0,35,35
AB-LL_7,2,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,3,0,0,0,0,0,0,1,2,1,2,0.1765,1,1,176,0,176
AB-LL_26,7,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AB-LL_22,1,Prairie,Prairie,AB-LL,1348.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-LL_34,7,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,3,0,1,0,2,0,115,0,0,0,0,0,1,0,0,115,115
AB-LL_5,7,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,11,0,1,0,8,0,636,1,2,1,1,0.0091,1,1,9,636,645
AB-LL_26,8,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,10,0,1,0,3,0,149,1,14,1,9,0.6665,1,1,666,149,815
AB-LL_13,10,Prairie,Prairie,AB-LL,1348.389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-LL_10,1,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,15,0,1,0,9,0,760,1,5,1,4,0.985,1,1,985,760,1745
AB-LL_12,3,Prairie,Prairie,AB-LL,1348.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-LL_7,8,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,5,0,1,0,4,0,153,1,1,1,1,0.1199,1,1,120,153,273
AB-LL_13,12,Prairie,Prairie,AB-LL,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-LL_10,4,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,5,0,1,0,1,0,16,0,0,0,0,0,1,0,0,16,16
AB-LL_26,3,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0
AB-LL_10,2,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,8,0,1,0,3,0,163,0,0,0,0,0,1,0,0,163,163
AB-LL_7,12,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,3,0,1,0,1,0,33,1,1,0,0,0,1,1,0,33,33
AB-LL_22,12,Prairie,Prairie,AB-LL,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-LL_12,11,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AB-LL_40,1,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,6,0,1,0,5,0,574,1,2,1,2,0.1372,1,1,137,574,711
AB-LL_10,8,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,4,0,1,0,1,0,39,0,0,0,0,0,1,0,0,39,39
AB-LL_29,11,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AB-LL_13,5,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
AB-LL_29,5,Prairie,Prairie,AB-LL,1348.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-LL_7,1,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,3,0,1,0,1,0,46,1,1,0,0,0,1,1,0,46,46
AB-LL_10,12,Prairie,Prairie,AB-LL,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-LL_26,4,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,0,0,0,0,0,0,0,1,2,1,2,0.1248,1,1,125,0,125
AB-LL_10,3,Prairie,Prairie,AB-LL,1348.389,1,1,1,1,1,1,7,0,1,0,4,0,369,0,0,0,0,0,1,0,0,369,369
AB-LL_22,5,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,11,0,1,0,5,0,131,0,0,0,0,0,1,0,0,131,131
AB-LL_13,7,Prairie,Prairie,AB-LL,1348.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB-LL_34,8,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,2,0,1,0,2,0,47,1,2,0,0,0,1,1,0,47,47
AB-LL_22,10,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AB-LL_12,12,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
AB-LL_29,9,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.1178,1,1,118,0,118
AB-LL_40,4,Prairie,Prairie,AB-LL,1348.389,1,1,1,0,1,0,7,0,1,0,7,0,450,1,1,0,0,0,1,1,0,450,450
